,code size (bytes),comp time (ms),exec time (ms),gc time (ms),involuntary context sw,page faults,page reclaims,peak mem usage (KB),total time (ms),voluntary context sw,wall time (ms)
partial-sums,424468.0000000003,413.4980123899873,29.000000000000007,1,1.6917263851493571,1,66507.99999699289,264525.1999936492,442.8983225497504,1,576.0981915464829
v8-crypto,979999.0000000007,781.2989703315734,48.00000000000001,1,1.8660659830736148,1,87750.09999606843,348230.39999448665,829.29902989277,1,984.1992080464812
3d-morph,424589.0000000003,412.09916378517704,31.098577367126364,1,1.7617295898720438,1,66346.69999691022,263756.7999951473,443.9991001088422,1,577.0992293335926
fasta,443681.0000000003,425.3997180008432,41.69746571801664,1,1.6245047927124712,1,67763.0999963845,269313.9999925739,467.3997433337357,1,601.5996344849289
bits-in-byte,407158.0000000003,400.7993016943715,13.096698226720031,1,1.6245047927124712,1,65611.89999626596,260864.79999509346,414.79932525338853,1,546.9992694044429
crypto-md5,560333.0000000005,492.3975351860285,15.000000000000002,1,1.6437518295172258,1,70956.99999436286,281877.59999318875,508.09717047169045,1,645.1978695187182
deltablue,776741.0000000006,552.6994478085514,20.000000000000004,1,1.711769859409705,1,78020.99999487326,309997.1999945808,573.5994419485654,1,716.3992735538118
recursive,416631.0000000003,404.6997403773856,16.000000000000004,1,1.6437518295172258,1,66162.79999727948,262961.59999269876,421.0994180989856,1,553.6996298673424
base64,453491.00000000035,435.29952889062463,19.000000000000004,1,1.578436529997654,1,68248.0999964102,271372.7999952834,455.2995495922521,1,589.6994830518013
3d-raytrace,704454.0000000005,621.899284077014,29.000000000000007,1,2.023695881835618,1,79545.79999522294,315585.5999939163,651.5993554882857,1,797.7993982316715
navier-stokes,521117.0000000004,559.8992047537612,40.00000000000001,1,1.943283315726147,1,74603.2999985926,296267.1999956798,600.1992004649035,1,741.199082188325
nbody,500576.00000000035,490.59934833438274,23.000000000000004,1,1.8131474454755332,1,71528.59999692437,284300.7999954979,513.7992607449663,1,651.6993789056933
nsieve-bits,411297.0000000003,406.3997048211419,16.000000000000004,1,1.7617295898720438,1,66271.69999690673,263532.3999972681,422.5997159538225,1,555.3996043290989
cordic,452327.00000000035,445.3995067458161,22.000000000000004,1,1.5157165665103982,1,69073.29999413672,274490.3999930054,467.99935988356117,1,603.2993288227593
splay,524589.0000000003,461.1993926613761,116.69824566155908,1,1.6437518295172258,1,70970.59999690019,282181.1999940466,578.2994729137421,1,715.4994062042995
spectral-norm,424036.0000000003,415.3994711760354,15.897070868146026,1,1.4727333575346888,1,66774.29999393485,265357.1999936691,432.1998150716006,1,565.2994608000663
richards,585182.0000000005,473.99978902911346,15.000000000000002,1,1.6917263851493571,1,71869.09999659107,285729.59999328054,489.29978552455884,1,626.8996092284057
bitwise-and,408037.0000000003,399.2994863996643,27.000000000000004,1,1.7617295898720438,1,65368.89999778186,260036.00000000017,426.6995197435686,1,558.59960636284
fannkuch,426428.0000000003,427.1991100029704,24.000000000000004,1,1.6917263851493571,1,66908.19999730978,265858.39999277826,451.5990700880395,1,585.2991371579777
crypto-sha1,475457.00000000035,444.49971878506307,14.000000000000002,1,1.8346295092848035,1,69029.59999681302,274257.1999938746,459.49972796509917,1,594.3997981609873
v8-raytrace,1032774.0000000008,707.4993994922166,65.99848469193819,1,2.1946410573397612,1,83726.79999904455,332429.19999494654,773.8995539313754,1,924.8994108350254
3bits-byte,407180.0000000003,401.099638518091,13.000000000000002,1,1.6245047927124712,1,65704.69999535808,261141.1999935669,414.1995653797613,1,546.2996246406209
earley-boyer,3125629.000000003,5229.076657904598,114.09960744228853,1,8.069327728973123,1,182991.29999396158,713477.9999859848,5343.876093112143,1,5597.076335729822
3d-cube,623491.0000000005,556.1993171527347,25.000000000000004,1,1.888175022589804,1,74487.49999697943,295940.3999975673,581.9991414817707,1,723.6988880247105
nsieve,409507.0000000003,405.98013800687664,14.000000000000002,1,1.6917263851493571,1,66032.39999666838,262436.7999951228,419.98078949381943,1,552.684445075515
binary-trees,433753.00000000035,411.29877211022205,15.000000000000002,1,1.7411011265922482,1,66483.69999691659,264289.5999927354,426.79911122716976,1,559.6990984031196
